,country,continent,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
71,Ethiopia,Africa,2020-04-10 09:45:32,9.145,40.4897,56,2,4,50
72,Fiji,Australia,2020-04-10 09:45:32,-17.7134,178.065,16,0,0,16
73,Gabon,Africa,2020-04-10 09:45:32,-0.8037,11.6094,44,1,1,42
74,Gambia,Africa,2020-04-10 09:45:32,13.4432,-15.3101,4,1,2,1
75,Georgia,Asia,2020-04-10 09:45:32,42.3154,43.3569,230,3,52,175
76,Ghana,Africa,2020-04-10 09:45:32,7.9465,-1.0232,378,6,3,369
77,Greece,Europe,2020-04-10 09:45:32,39.0742,21.8243,1955,87,269,1599
78,Grenada,North America,2020-04-10 09:45:32,12.1165,-61.678999999999995,12,0,0,12
79,Guatemala,North America,2020-04-10 09:45:32,15.7835,-90.2308,126,3,17,106
80,Guinea,Africa,2020-04-10 09:45:32,9.9456,-9.6966,194,0,11,183
81,Guinea-Bissau,Africa,2020-04-10 09:45:32,11.8037,-15.1804,36,0,0,36
82,Guyana,South America,2020-04-10 09:45:32,4.860416000000002,-58.93018000000001,37,6,8,23
83,Haiti,North America,2020-04-10 09:45:32,18.9712,-72.2852,30,2,0,28
84,Holy See,Others,2020-04-10 09:45:32,41.9029,12.4534,8,0,2,6
85,Honduras,North America,2020-04-10 09:45:32,15.2,-86.2419,382,23,7,352
86,Hungary,Europe,2020-04-10 09:45:32,47.1625,19.5033,1190,77,112,1001
87,India,Asia,2020-04-10 09:45:32,20.593684,78.96288,6771,228,635,5908
88,Indonesia,Asia,2020-04-10 09:45:32,-0.7893,113.9213,3512,306,282,2924
89,Iran,Asia,2020-04-10 09:45:32,32.427908,53.68804599999999,66220,4110,32309,29801
90,Iraq,Asia,2020-04-10 09:45:32,33.223191,43.679291,1232,69,496,667
91,Israel,Asia,2020-04-10 09:45:32,31.046051000000002,34.851612,10095,92,1061,8942
92,Jamaica,North America,2020-04-10 09:45:32,18.1096,-77.2975,63,4,13,46
93,Japan,Asia,2020-04-10 09:45:32,36.204824,138.252924,5530,99,685,4746
94,Jordan,Asia,2020-04-10 09:45:32,31.24,36.51,372,7,161,204
95,Kazakhstan,Asia,2020-04-10 09:45:32,48.0196,66.9237,802,9,63,730
96,Kenya,Africa,2020-04-10 09:45:32,-0.0236,37.9062,184,7,12,165
97,South Korea,Asia,2020-04-10 09:45:32,35.90775700000001,127.766922,10450,208,7117,3125
98,Kosovo,Others,2020-04-10 09:45:32,42.602636,20.902977,184,5,30,149
99,Kuwait,Asia,2020-04-10 09:45:32,29.311659999999996,47.481766,993,1,123,869
100,Kyrgyzstan,Asia,2020-04-10 09:45:32,41.20438,74.766098,298,5,35,258
101,Laos,Asia,2020-04-10 09:45:32,19.856270000000002,102.495496,16,0,0,16
102,Latvia,Europe,2020-04-10 09:45:32,56.8796,24.6032,612,3,16,593
103,Lebanon,Asia,2020-04-10 09:45:32,33.8547,35.8623,609,19,67,523
104,Liberia,Africa,2020-04-10 09:45:32,6.4280550000000005,-9.429499,31,4,3,24
105,Libya,Africa,2020-04-10 09:45:32,26.3351,17.228331,24,1,8,15
106,Liechtenstein,Europe,2020-04-10 09:45:32,47.14,9.55,78,1,55,22
107,Lithuania,Europe,2020-04-10 09:45:32,55.1694,23.8813,999,17,8,974
108,Luxembourg,Europe,2020-04-10 09:45:32,49.8153,6.1296,3115,52,500,2563
109,MS Zaandam,Others,2020-04-10 09:45:32,,,9,2,0,7
110,Madagascar,Africa,2020-04-10 09:45:32,-18.766947000000002,46.869107,93,0,11,82
111,Malawi,Africa,2020-04-10 09:45:32,-13.254307999999998,34.301525,9,1,0,8
112,Malaysia,Asia,2020-04-10 09:45:32,4.210483999999999,101.97576600000001,4346,70,1830,2446
113,Maldives,Asia,2020-04-10 09:45:32,3.2028,73.2207,19,0,13,6
114,Mali,Africa,2020-04-10 09:45:32,17.570692,-3.996166000000001,74,7,22,45
115,Malta,Europe,2020-04-10 09:45:32,35.9375,14.3754,337,2,16,319
116,Mauritania,Africa,2020-04-10 09:45:32,21.0079,-10.9408,7,1,2,4
117,Mauritius,Africa,2020-04-10 09:45:32,-20.348404000000002,57.552152,314,7,23,284
118,Mexico,North America,2020-04-10 09:45:32,23.6345,-102.5528,3441,194,633,2614
119,Moldova,Europe,2020-04-10 09:45:32,47.4116,28.3699,1289,29,56,1204
120,Monaco,Europe,2020-04-10 09:45:32,43.7333,7.4167,84,1,5,78
121,Mongolia,Asia,2020-04-10 09:45:32,46.8625,103.8467,16,0,4,12
122,Montenegro,Europe,2020-04-10 09:45:32,42.708678000000006,19.37439,255,2,4,249
123,Morocco,Africa,2020-04-10 09:45:32,31.7917,-7.0926,1431,105,114,1212
124,Mozambique,Africa,2020-04-10 09:45:32,-18.665695,35.529562,17,0,1,16
125,Namibia,Africa,2020-04-10 09:45:32,-22.9576,18.4904,16,0,3,13
126,Nepal,Asia,2020-04-10 09:45:32,28.1667,84.25,9,0,1,8
127,New Zealand,Australia,2020-04-10 09:45:32,-40.9006,174.886,1283,2,373,908
128,Nicaragua,North America,2020-04-10 09:45:32,12.865416,-85.207229,7,1,0,6
129,Niger,Africa,2020-04-10 09:45:32,17.607789,8.081666,410,11,40,359
130,Nigeria,Africa,2020-04-10 09:45:32,9.082,8.6753,288,7,51,230
131,North Macedonia,Europe,2020-04-10 09:45:32,41.6086,21.7453,663,30,37,596
132,Oman,Asia,2020-04-10 09:45:32,21.512583,55.92325500000001,484,3,109,372
133,Pakistan,Asia,2020-04-10 09:45:32,30.3753,69.3451,4601,66,727,3808
134,Panama,North America,2020-04-10 09:45:32,8.538,-80.7821,2752,66,16,2670
135,Papua New Guinea,Australia,2020-04-10 09:45:32,-6.314993,143.95555,2,0,0,2
136,Paraguay,South America,2020-04-10 09:45:32,-23.4425,-58.4438,129,6,18,105
137,Peru,South America,2020-04-10 09:45:32,-9.19,-75.0152,5256,138,1438,3680
138,Philippines,Asia,2020-04-10 09:45:32,12.879721,121.77401699999999,4195,221,140,3834
